Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
honest man,KISSAN ANDOLAN SAY DARR KRR DELHI SAY GUJARAT BHAAGA FEKU-JUMLABAAZ NARENDRA MODI. <br>DRAMA KRR RAHA HAI VACCINE KAY NAAM PER. GODI-MODI MEDIA MAI KISSAN ANDOLAN KE JAGHAN MODI DIKHAYA JAIGA.,2020-11-29T10:37:22Z,0,0,,,,
suhas macs,Agitated farmer..what a shit u cow medias,2020-11-28T02:17:25Z,0,0,,,,
MrMohil10,"This protestors only have rocks and this bastard police have tear gas and guns! Shame on you! They want their voice heard and if it won’t be heard from Punjab, they need to go closer to where they will be heard! May God Bless You! They should have their own prime ministers. The current one we have is a JOKE!",2020-11-26T12:36:07Z,0,0,,,,
Arvind Bakshi,news channels government ki chaatna band karo warna log tumhe dekhna band kar denge.,2020-11-26T09:24:51Z,1,0,,,,
Bibi,These people are not murderers or terrorist. Why all these police. Why don&#39;t they arrest the murderers of Sushant and Disha. Waste of time.,2020-11-26T08:40:22Z,0,0,,,,
Bibi,Shameful India government. The farmers wanted to protest peacefully why police are stopping them.,2020-11-26T08:37:44Z,0,0,,,,
The guardian,Good good ji mata ki,2020-11-26T08:18:00Z,0,0,,,,
The guardian,BJP rss lakh lahnat marjo haramio,2020-11-26T08:16:29Z,2,0,,,,
Lambo Jackson,Stand up against criminal dictatorship Modi regime,2020-11-26T08:15:31Z,1,0,,,,
Mo Jan,Degi chalo down with bjp/rss,2020-11-26T07:57:32Z,0,0,,,,
Krishan Singh Dilip Singh,They are trying to create the same scenario as in Delhi. There must be some one behind this. Handle with care and they are expecting for something .,2020-11-26T07:43:53Z,0,0,,,,
Neena Bassi-Kang,Agitating farmers? Farmers on warpath? Wow!! Farmers agitation?  They wanted to protest peacefully,2020-11-26T07:36:50Z,6,0,,,,
Sri,pull back farm bill which benefits corporates instead  farmers of this country,2020-11-26T07:28:51Z,4,1,,,,
,,,,,Abhi,Ma chuda ♥️day,2020-11-28T05:32:00Z,2020-11-28T05:32:00Z
Harvin Samra,Well done power of youth Delhi ta jhanjra pa ke nachu gi,2020-11-26T07:23:29Z,2,0,,,,
Syed ali Hussain,Right in democracy I dont no why police stop.,2020-11-26T06:45:01Z,3,0,,,,