Comment,Time,positive,negative,neutral,compound
Taniyo kuch sikho,2021-08-07T12:40:42Z,0.0,0.0,1.0,0.0
ğŸ˜²ğŸ˜ğŸ”¥,2021-08-07T12:41:10Z,0.0,0.0,1.0,0.0
Super,2021-08-07T12:42:25Z,1.0,0.0,0.0,0.5994
ğŸ…ğŸ™ğŸ™ğŸ‘,2021-08-07T12:50:32Z,0.0,0.0,1.0,0.0
Proud of India&#39;s GOLD.,2021-08-07T12:52:18Z,0.508,0.0,0.492,0.4767
Congratulatons Neera Chopra,2021-08-07T12:52:36Z,0.0,0.0,1.0,0.0
Ab corona kidhar hai....,2021-08-07T12:52:46Z,0.0,0.0,1.0,0.0
I feel like my son got gold medal . Congratulations.,2021-08-07T12:53:33Z,0.655,0.0,0.345,0.8591
"Congratulations,we r proud of u Neeraj,God bless",2021-08-07T12:53:35Z,0.663,0.0,0.337,0.7096
Congratulations dear Sir.,2021-08-07T12:55:27Z,0.867,0.0,0.133,0.7579
I want confidence like he hasğŸ˜Œ,2021-08-07T12:56:20Z,0.78,0.0,0.22,0.7269
We done it.,2021-08-07T13:00:55Z,0.0,0.0,1.0,0.0
Op ğŸ‘ğŸ»ğŸ‘ğŸ»,2021-08-07T13:03:22Z,0.0,0.0,1.0,0.0
Seems like none of them are interested in watching the 1st test India v/s England hahahahahahaha,2021-08-07T13:04:32Z,0.271,0.0,0.729,0.6369
congrats,2021-08-07T13:05:05Z,1.0,0.0,0.0,0.5267
Congratulations to Neeraj and family we all are proud Indians â¤...on his winning gold ğŸ‘ğŸ˜€,2021-08-07T13:09:41Z,0.464,0.0,0.536,0.886
Well done &amp; Congratulations Neeraj Chopra for your outstanding performance at the Tokyo Olympics winning a GOLD in the Javelin Throw. You have made each and every citizen of India proud of you. You deserve all the accolades. Carry on the good work. Our honourable PM should now rename another KHEL RATNA AWARD in his name,2021-08-07T13:11:37Z,0.363,0.0,0.637,0.9793
140 crore people are with youâ¤,2021-08-07T13:16:11Z,0.0,0.0,1.0,0.0
Congratulations to NeerajğŸ…ğŸ‡®ğŸ‡³.We are proud of you.,2021-08-07T13:16:40Z,0.583,0.0,0.417,0.7906
"Kamal khil gaya...! <a href=""http://www.youtube.com/results?search_query=%23neerajchopra"">#NeerajChopra</a>ğŸ…ğŸ¥‡ğŸ’®ğŸ’®",2021-08-07T13:17:07Z,0.0,0.0,1.0,0.0
Great.....<br>A thousand mile March starts with the first step...<br>Let this be the first step.....ğŸ‘ğŸ‘ğŸ‘,2021-08-07T13:26:17Z,0.0,0.0,1.0,0.0
ğŸ™ğŸ™ğŸ™ğŸ™,2021-08-07T13:51:51Z,0.0,0.0,1.0,0.0
à¤…à¤¨à¤‚à¤¤ à¤¨à¤®à¤¨à¥¤<br>à¤à¤• à¤—à¤¾à¤¨à¤¾ à¤¹à¥ˆ à¤¹à¤® à¤¹à¥‹à¤‚à¤—à¥‡ à¤•à¤¾à¤®à¤¯à¤¾à¤¬ à¤à¤• à¤¦à¤¿à¤¨ à¤®à¤¨ à¤®à¥‡à¤‚ à¤¹à¥ˆ à¤µà¤¿à¤¶à¥à¤µà¤¾à¤¸ à¤ªà¥‚à¤°à¤¾ à¤¹à¥ˆ à¤µà¤¿à¤¶à¥à¤µà¤¾à¤¸ <i>_____</i>,2021-08-07T13:55:00Z,0.0,0.0,1.0,0.0
ğŸ‘ŒğŸ‘ŒğŸ‘ŒğŸ‘ŒğŸ‘Œ,2021-08-07T14:02:52Z,0.0,0.0,1.0,0.0
Gold ğŸ…in Tokyo Olympics. Very proud moment for India. Congrats to Neeraj Chopra. Love from Indians in Japan. ğŸ—¼Keep Exploring and SupportingğŸ—¼,2021-08-07T14:08:07Z,0.367,0.0,0.633,0.8999
Congratulations!!!!!!!Son of the soil. Hero of the nation.,2021-08-07T14:26:59Z,0.405,0.0,0.595,0.6973
Yada raja.. tadaa praja,2021-08-07T15:01:15Z,0.0,0.0,1.0,0.0
"We have to focus on Olympic sports. We have to compete with superpowers like USA, Russia,China, European countries, Japan etc. Rather than Bangladesh, SriLanka,pakistan,zimbawe,afghanistan.",2021-08-07T19:22:49Z,0.098,0.0,0.902,0.3612
"<a href=""https://youtu.be/jSHzTMf5ELE"">https://youtu.be/jSHzTMf5ELE</a>",2021-08-08T05:45:37Z,0.0,0.0,1.0,0.0
